date,state,cases,deaths
2020-02-25,GE,0,0
2020-02-25,TI,1,0
2020-02-26,GE,1,0
2020-02-27,GE,1,0
2020-02-27,JU,1,0
2020-02-27,ZH,2,0
2020-02-27,BS,1,0
2020-02-28,BE,1,0
2020-02-28,BL,1,0
2020-02-28,GE,4,0
2020-02-28,JU,1,0
2020-02-28,VS,1,0
2020-02-28,BS,1,0
2020-02-28,ZH,2,0
2020-02-28,AG,1,0
2020-02-29,BL,2,0
2020-02-29,GE,6,0
2020-02-29,JU,1,0
2020-02-29,VS,1,0
2020-02-29,ZG,0,0
2020-02-29,ZH,6,0
2020-02-29,BS,1,0
2020-03-01,BE,2,0
2020-03-01,BL,2,0
2020-03-01,FR,1,0
2020-03-01,GE,8,0
2020-03-01,JU,1,0
2020-03-01,NE,1,0
2020-03-01,VS,2,0
2020-03-01,ZG,0,0
2020-03-01,ZH,7,0
2020-03-01,BS,1,0
2020-03-02,BE,4,0
2020-03-02,BL,2,0
2020-03-02,FR,2,0
2020-03-02,GE,8,0
2020-03-02,JU,1,0
2020-03-02,NE,1,0
2020-03-02,SG,0,0
2020-03-02,TI,2,0
2020-03-02,VS,3,0
2020-03-02,ZG,0,0
2020-03-02,ZH,11,0
2020-03-02,BS,1,0
2020-03-02,AG,2,0
2020-03-03,BL,2,0
2020-03-03,GE,11,0
2020-03-03,JU,2,0
2020-03-03,NE,1,0
2020-03-03,SZ,1,0
2020-03-03,TI,4,0
2020-03-03,VS,3,0
2020-03-03,ZG,1,0
2020-03-03,ZH,14,0
2020-03-03,AG,6,0
2020-03-03,BS,3,0
2020-03-04,BE,6,0
2020-03-04,BL,2,0
2020-03-04,FL,1,0
2020-03-04,FR,4,0
2020-03-04,GE,11,0
2020-03-04,JU,2,0
2020-03-04,NE,8,0
2020-03-04,SZ,3,0
2020-03-04,TI,5,0
2020-03-04,VS,4,0
2020-03-04,SG,1,0
2020-03-04,ZG,1,0
2020-03-04,ZH,16,0
2020-03-04,AG,7,0
2020-03-04,BS,3,0
2020-03-04,LU,0,0
2020-03-05,AR,1,0
2020-03-05,BL,6,0
2020-03-05,FL,1,0
2020-03-05,FR,6,0
2020-03-05,GE,15,0
2020-03-05,JU,4,0
2020-03-05,NE,9,0
2020-03-05,TI,18,0
2020-03-05,VS,5,0
2020-03-05,ZG,2,0
2020-03-05,ZH,24,0
2020-03-05,AG,9,0
2020-03-05,BS,8,0
2020-03-06,BE,17,0
2020-03-06,BL,6,0
