date;Ce;Cc;D;Cm;H;Tm;Te;Ts;F;Fraw;Zn;Znraw
28.02.20;12;19;3;6;0;0;0;0;0;2.135714286;0;9.9375
29.02.20;13;28;4;8;0;0;0;0;0;1.472608696;0;8.831875
01.03.20;19;35;5;11;1;0;0;0;0;1.264179101;0;7.27004375
02.03.20;30;51;6;14;1;0;0;0;1.763799529;1.460295092;8.133802906;16.01339869
03.03.20;48;77;7;20;1;0;0;0;1.727592623;1.510351184;10.67572793;25.92727804
04.03.20;58;99;8;27;1;0;0;0;1.55436203;1.287385851;13.39731989;22.05114376
05.03.20;95;142;9;37;2;0;0;0;1.509112455;1.433252978;18.97550076;42.79726607
06.03.20;131;194;10;51;3;0;0;0;1.399551869;1.368790182;25.014824;52.21276269
07.03.20;148;260;11;70;3;1;0;0;1.38098579;1.342646142;33.23910333;66.40183032
08.03.20;203;324;12;96;5;1;2;2;1.378409953;1.246148242;41.34996475;64.04607368
09.03.20;259;401;13;131;7;1;3;1;1.346303123;1.235547286;49.97285877;76.37365686
10.03.20;331;534;14;180;9;1;5;2;1.320900828;1.332535119;65.30008118;133.2178349
11.03.20;423;672;15;246;12;2;6;1;1.316805845;1.258720969;81.880373;138.1131865
12.03.20;804;944;16;337;17;3;7;1;1.312755267;1.40489893;114.6335273;272.069346
13.03.20;1130;1304;17;462;23;3;7;0;1.31450346;1.381027531;158.5595637;359.6950175
14.03.20;1282;1721;18;633;32;5;11;4;1.311289841;1.32015081;208.6997651;417.3832401
15.03.20;1393;2087;19;867;43;7;17;6;1.306496166;1.212592514;251.8204916;365.8911595
16.03.20;2309;2540;20;1188;59;9;26;9;1.303881641;1.217245613;305.6796575;453.3878181
17.03.20;2723;3133;21;1628;81;12;31;5;1.289695249;1.233230375;371.290188;592.4915482
18.03.20;3908;3978;22;2230;111;17;38;7;1.291271947;1.269757854;472.290322;845.1141244
19.03.20;5072;5270;23;3055;153;23;43;5;1.279842604;1.324893531;618.054516;1292.418704
20.03.20;6521;6613;24;4185;209;31;62;19;1.261793604;1.254684527;758.4249433;1342.288009
21.03.20;6167;7618;25;5733;287;43;81;19;1.23776556;1.151954502;842.34547;1004.826927
22.03.20;6530;8391;26;7855;393;59;101;20;1.221905026;1.101568778;900.6040404;773.7011525
23.03.20;8851;9227;27;10761;538;81;123;22;1.205091186;1.099548738;955.1678458;835.3344553
24.03.20;9915;10224;28;14743;737;111;141;18;1.187220704;1.108136995;1013.05918;997.7308844
25.03.20;10935;11226;29;20197;1010;151;180;39;1.1626803;1.097975029;1035.431985;1001.723764
26.03.20;12422;12422;30;27671;1384;208;224;44;1.131486709;1.106538393;1021.657885;1196
27.03.20;13389;13709;31;37909;1895;284;252;28;1.109904134;1.103606505;1013.759598;1287
28.03.20;13766;14764;32;51935;2597;390;292;40;1.099190169;1.076956744;1020.927179;1055
29.03.20;14458;15615;33;71151;3558;534;325;33;1.092914658;1.057640206;1031.969872;851
30.03.20;16455;16455;34;97477;4874;731;379;54;1.086378329;1.053794428;1032.636378;840
31.03.20;17405;17405;35;133543;6677;1002;450;71;1.079177788;1.057733212;1025.817681;950
01.04.20;18423;18439;36;182954;9148;1372;503;53;1.073668243;1.059408216;1030.428571;1034
02.04.20;19535;19535;37;250647;12532;1880;559;56;1.066939792;1.059439232;1016.142857;1096
03.04.20;20452;20452;38;343386;17169;2575;629;70;1.058844775;1.046941387;963.2857143;917
04.04.20;19956;21146;39;470438;23522;3528;687;58;1.052698542;1.033933112;911.7142857;694
05.04.20;21390;21660;40;644501;32225;4834;738;51;1.047936684;1.024307198;863.5714286;514
06.04.20;22165;22165;41;882966;44148;6622;792;54;1.04358246;1.023314866;815.7142857;505
