day,m,m1,m2,c,c1,k,k1
1,1.0,0.1,0.0,111.1,117.1,11.1,11.7
2,2.0,0.2,0.0,155.6,164.0,15.6,16.4
3,2.7,0.3,0.0,217.8,229.6,21.8,23.0
4,3.8,0.4,0.0,304.9,321.4,30.5,32.1
5,5.4,0.5,0.1,426.9,450.0,42.7,45.0
6,7.5,0.8,0.1,597.6,630.0,59.8,63.0
7,10.5,1.1,0.1,836.7,882.0,83.7,88.2
8,14.8,1.5,0.1,1171.4,1234.8,117.1,123.5
9,20.7,2.1,0.2,1639.9,1728.7,164.0,172.9
10,28.9,2.9,0.3,2295.9,2420.1,229.6,242.0
11,40.5,4.0,0.4,3214.2,3388.2,321.4,338.8
12,56.7,5.7,0.6,4499.9,4743.5,450.0,474.3
13,79.4,7.9,0.8,6299.8,6640.9,630.0,664.1
14,111.1,11.1,1.1,8819.8,9297.2,882.0,929.7
15,155.6,15.6,1.6,12347.7,13016.1,1234.8,1301.6
16,217.8,21.8,2.2,17286.7,18222.6,1728.7,1822.3
17,304.9,30.5,3.0,24201.4,25511.6,2420.1,2551.2
18,426.9,42.7,4.3,33882.0,35716.2,3388.2,3571.6
19,597.6,59.8,6.0,47434.8,50002.7,4743.5,5000.3
20,836.7,83.7,8.4,66408.7,70003.8,6640.9,7000.4
21,1171.4,117.1,11.7,92972.2,98005.3,9297.2,9800.5
22,1639.9,164.0,16.4,130161.1,137207.4,13016.1,13720.7
23,2295.9,229.6,23.0,182225.6,192090.3,18222.6,19209.0
24,3214.2,321.4,32.1,255115.8,268926.5,25511.6,26892.6
25,4499.9,450.0,45.0,357162.1,376497.1,35716.2,37649.7
26,6299.8,630.0,63.0,500026.9,527095.9,50002.7,52709.6
27,8819.8,882.0,88.2,700037.7,737934.3,70003.8,73793.4
28,12347.7,1234.8,123.5,980052.8,1033108.0,98005.3,103310.8
29,17286.7,1728.7,172.9,1372073.9,1446351.2,137207.4,144635.1
30,24201.4,2420.1,242.0,1920903.4,2024891.6,192090.3,202489.2
