date,Italy,Sweden,Switzerland
2020-01-31,2,1,0
2020-02-01,2,1,0
2020-02-02,2,1,0
2020-02-03,2,1,0
2020-02-04,2,1,0
2020-02-05,2,1,0
2020-02-06,2,1,0,,,,,,,,,,,,,,,,,
2020-02-07,3,1,0,,,,,,,,,,,,,,,,,
2020-02-08,3,1,0
2020-02-09,3,1,0
2020-02-10,3,1,0
2020-02-11,3,1,0
2020-02-12,3,1,0
2020-02-13,3,1,0
2020-02-14,3,1,0
2020-02-15,3,1,0
2020-02-16,3,1,0,,,,,,,,,,,,,,,,,
2020-02-17,3,1,0,,,,,,,,,,,,,,,,,
2020-02-18,3,1,0
2020-02-19,3,1,0
2020-02-20,3,1,0
2020-02-21,20,1,0
2020-02-22,62,1,0
2020-02-23,155,1,0
2020-02-24,229,1,0
2020-02-25,322,1,1
2020-02-26,453,2,1
2020-02-27,655,7,8
2020-02-28,888,7,8
2020-02-29,1128,12,18
2020-03-01,1694,14,27
2020-03-02,2036,15,42
2020-03-03,2502,21,56
2020-03-04,3089,35,90
2020-03-05,3858,94,114
2020-03-06,4636,101,214
2020-03-07,5883,161,268
2020-03-08,7375,203,337
2020-03-09,9172,248,374
2020-03-10,10149,355,491
2020-03-11,12462,500,652
2020-03-12,12462,599,652
2020-03-13,17660,814,1139
2020-03-14,21157,961,1359
2020-03-15,24747,1022,2200
2020-03-16,27980,1103,2200
2020-03-17,31506,1190,2700
2020-03-18,35713,1279,3028
2020-03-19,41035,1439,4075
2020-03-20,47021,1639,5294
2020-03-21,53578,1763,6575
2020-03-22,59138,1934,7474
2020-03-23,63927,2046,8795
2020-03-24,69176,2286,9877
2020-03-25,74386,2526,10897
2020-03-26,80589,2840,11811
2020-03-27,86498,3069,12928
2020-03-28,92472,3447,14076
2020-03-29,97689,3700,14829
2020-03-30,101739,4028,15922
2020-03-31,105792,4435,16605
2020-04-01,110574,4947,17768
2020-04-02,115242,5568,18827
2020-04-03,119827,6131,19606
2020-04-04,124632,6443,20505
2020-04-05,128948,6830,21100
2020-04-06,132547,7206,21657
2020-04-07,135586,7693,22253
2020-04-08,139422,8419,23280
2020-04-09,143626,9141,24051
2020-04-10,147577,9685,24551
2020-04-11,152271,10151,25107
2020-04-12,156363,10483,25415
2020-04-13,159516,10948,25688
2020-04-14,162488,11445,25936
2020-04-15,165155,11927,26336
2020-04-16,168941,12540,26732
2020-04-17,172434,13216,27078
