KJ,Kalenderwoche,Endend,Alter,Anzahl_Todesfalle,Erwartung,untGrenze,obeGrenze,Exzess
2010,1,2010-01-10,0-64,193,195,159,231,
2010,2,2010-01-17,0-64,198,195,159,231,
2010,3,2010-01-24,0-64,191,194,158,230,
2010,4,2010-01-31,0-64,207,194,158,229,
2010,5,2010-02-07,0-64,175,193,157,229,
2010,6,2010-02-14,0-64,179,192,157,228,
2010,7,2010-02-21,0-64,218,192,156,227,
2010,8,2010-02-28,0-64,184,191,155,227,
2010,9,2010-03-07,0-64,179,190,155,226,
2010,10,2010-03-14,0-64,221,190,154,225,
2010,11,2010-03-21,0-64,196,189,154,225,
2010,12,2010-03-28,0-64,200,189,153,224,
2010,13,2010-04-04,0-64,162,188,153,223,
2010,14,2010-04-11,0-64,180,187,152,223,
2010,15,2010-04-18,0-64,158,187,152,222,
2010,16,2010-04-25,0-64,226,186,151,221,226
2010,17,2010-05-02,0-64,176,185,150,221,
2010,18,2010-05-09,0-64,161,185,150,220,
2010,19,2010-05-16,0-64,190,184,149,219,
2010,20,2010-05-23,0-64,193,183,149,218,
2010,21,2010-05-30,0-64,191,183,148,218,
2010,22,2010-06-06,0-64,202,182,148,217,
2010,23,2010-06-13,0-64,189,182,147,217,
2010,24,2010-06-20,0-64,192,182,147,217,
2010,25,2010-06-27,0-64,168,182,147,216,
2010,26,2010-07-04,0-64,189,181,147,216,
2010,27,2010-07-11,0-64,187,181,146,216,
2010,28,2010-07-18,0-64,184,181,146,216,
2010,29,2010-07-25,0-64,170,181,146,216,
2010,30,2010-08-01,0-64,177,181,146,216,
2010,31,2010-08-08,0-64,187,181,146,216,
2010,32,2010-08-15,0-64,172,181,147,216,
2010,33,2010-08-22,0-64,171,181,147,216,
2010,34,2010-08-29,0-64,169,182,147,216,
2010,35,2010-09-05,0-64,176,182,147,216,
2010,36,2010-09-12,0-64,197,182,147,217,
2010,37,2010-09-19,0-64,176,182,147,217,
2010,38,2010-09-26,0-64,186,182,147,217,
2010,39,2010-10-03,0-64,185,182,148,217,
2010,40,2010-10-10,0-64,192,183,148,217,
2010,41,2010-10-17,0-64,189,183,148,218,
2010,42,2010-10-24,0-64,183,183,148,218,
2010,43,2010-10-31,0-64,181,183,148,218,
